account_id,customer_id,category,currency,account_title,opening_date,working_balance,posting_restrict,product
10010001,100100,1001,INR,RAJESH SHARMA - CURRENT,2025-04-01,1390927.44,,CURRENT
10010002,100100,1001,INR,RAJESH SHARMA - CURRENT,2022-01-31,1184302.21,,CURRENT
10010101,100101,1001,INR,PRIYA VERMA - CURRENT,2021-08-03,933913.25,KYC,CURRENT
10010102,100101,1001,INR,PRIYA VERMA - CURRENT,2018-04-13,1368342.98,,CURRENT
10010201,100102,1001,INR,AMIR NAIR - CURRENT,2023-10-31,519520.42,,CURRENT
10010202,100102,6001,INR,AMIR NAIR - SAVINGS,2023-01-24,53421.69,,SAVINGS
10010301,100103,1001,INR,SNEHA LEE - CURRENT,2022-03-06,286343.13,,CURRENT
10010302,100103,6001,INR,SNEHA LEE - SAVINGS,2018-07-09,735271.25,,SAVINGS
10010401,100104,1001,INR,NIKHIL SINGH - CURRENT,2017-04-26,831414.04,,CURRENT
10010501,100105,1001,INR,TANVI BANERJEE - CURRENT,2019-04-10,1678876.53,,CURRENT
10010502,100105,6001,INR,TANVI BANERJEE - SAVINGS,2025-05-12,493254.68,,SAVINGS
10010601,100106,1001,INR,VIKRAM PILLAI - CURRENT,2017-08-15,823030.47,,CURRENT
10010602,100106,6001,INR,VIKRAM PILLAI - SAVINGS,2021-09-12,1659479.87,,SAVINGS
10010701,100107,1001,INR,MEGHA AGARWAL - CURRENT,2024-08-30,127053.43,,CURRENT
10010702,100107,1001,INR,MEGHA AGARWAL - CURRENT,2024-10-31,747773.95,,CURRENT
10010801,100108,1001,INR,RAHUL SHARMA - CURRENT,2019-05-07,510185.91,,CURRENT
10010901,100109,1001,INR,ANITA VERMA - CURRENT,2021-01-03,1188403.44,,CURRENT
10011001,100110,1001,INR,ARJUN NAIR - CURRENT,2022-02-03,994123.47,,CURRENT
10011002,100110,6001,INR,ARJUN NAIR - SAVINGS,2025-10-01,1679234.78,,SAVINGS
10011101,100111,1001,INR,DIVYA LEE - CURRENT,2022-05-31,1255950.92,,CURRENT
10011102,100111,6001,INR,DIVYA LEE - SAVINGS,2020-08-09,1541039.34,,SAVINGS
10011103,100111,6001,INR,DIVYA LEE - SAVINGS,2023-11-28,1340852.22,,SAVINGS
10011201,100112,1001,INR,KARAN SINGH - CURRENT,2017-09-15,1426620.0,KYC,CURRENT
10011202,100112,6001,USD,KARAN SINGH - SAVINGS,2025-10-02,14836.47,,SAVINGS
10011301,100113,1001,INR,NEHA BANERJEE - CURRENT,2016-03-03,180831.49,,CURRENT
10011302,100113,1001,INR,NEHA BANERJEE - CURRENT,2017-09-24,1179124.22,,CURRENT
10011303,100113,6001,INR,NEHA BANERJEE - SAVINGS,2022-12-27,478143.47,,SAVINGS
10011401,100114,1001,INR,ROHAN PILLAI - CURRENT,2025-07-23,1533399.88,,CURRENT
10011501,100115,1001,INR,POOJA AGARWAL - CURRENT,2024-07-07,1717520.06,KYC,CURRENT
10011502,100115,6001,INR,POOJA AGARWAL - SAVINGS,2022-12-04,974517.3,,SAVINGS
10011601,100116,1001,INR,SANJAY SHARMA - CURRENT,2019-03-23,1136643.09,,CURRENT
10011602,100116,1001,INR,SANJAY SHARMA - CURRENT,2020-11-12,1344559.31,,CURRENT
10011603,100116,1001,INR,SANJAY SHARMA - CURRENT,2023-11-23,1369024.89,,CURRENT
10011701,100117,1001,INR,KAVYA VERMA - CURRENT,2016-04-28,1249661.09,,CURRENT
10011702,100117,6001,INR,KAVYA VERMA - SAVINGS,2019-04-16,1433364.02,,SAVINGS
10011801,100118,1001,INR,ADITYA NAIR - CURRENT,2020-08-14,440689.08,,CURRENT
10011802,100118,6001,INR,ADITYA NAIR - SAVINGS,2017-11-27,1426846.27,,SAVINGS
10011901,100119,1001,INR,ISHITA LEE - CURRENT,2020-04-15,1097670.98,,CURRENT
10011902,100119,1001,INR,ISHITA LEE - CURRENT,2022-07-16,434632.38,,CURRENT
