txn_id,account_id,customer_id,txn_date,value_date,amount,txn_type,counterparty,narrative,channel,is_suspicious
FT900001,10013902,100139,2026-07-21,2026-07-21,-50519.52,DEBIT,SIP.MF,FOOD ORDER,NEFT,N
FT900002,10011302,100113,2026-07-13,2026-07-13,-1151342.19,DEBIT,OFFSHORE.X,CRYPTO TOPUP,IB,Y
FT900003,10013501,100135,2026-06-21,2026-06-21,-49196.93,DEBIT,LANDLORD,RENT TRANSFER,UPI,N
FT900004,10019801,100198,2026-05-02,2026-05-02,-3114.25,DEBIT,SIP.MF,UTILITY BILL,IB,N
FT900005,10017201,100172,2026-05-29,2026-05-29,-1531.5,DEBIT,UTIL.CO,EMI PAYMENT,UPI,N
FT900006,10017801,100178,2026-05-09,2026-05-09,-40316.58,DEBIT,UTIL.CO,RENT TRANSFER,ACH,N
FT900007,10011002,100110,2026-06-13,2026-06-13,-58253.77,DEBIT,10018201,MUTUAL FUND SIP,ACH,N
FT900008,10019902,100199,2026-08-05,2026-08-05,-79691.5,DEBIT,SIP.MF,UPI PURCHASE,NEFT,N
FT900009,10014201,100142,2026-05-28,2026-05-28,-18350.62,DEBIT,UTIL.CO,UTILITY BILL,IB,N
FT900010,10010401,100104,2026-06-18,2026-06-18,-29390.66,DEBIT,UPI.MERCHANT,UPI PURCHASE,IB,N
FT900011,10015501,100155,2026-07-24,2026-07-24,149293.17,CREDIT,SALARY,BUSINESS RECEIPT,IB,N
FT900012,10012401,100124,2026-06-26,2026-06-26,173057.94,CREDIT,CASH.IN,SALARY CREDIT,IB,N
FT900013,10018602,100186,2026-06-08,2026-06-08,-56179.27,DEBIT,UPI.MERCHANT,MUTUAL FUND SIP,ACH,N
FT900014,10019601,100196,2026-06-23,2026-06-23,3447.72,CREDIT,CLIENT.A,INTEREST CREDIT,ATM,N
FT900015,10012302,100123,2026-07-03,2026-07-03,72111.28,CREDIT,SALARY,BUSINESS RECEIPT,IB,N
FT900016,10014401,100144,2026-07-30,2026-07-30,-41899.37,DEBIT,SIP.MF,MUTUAL FUND SIP,SWIFT,N
FT900017,10019301,100193,2026-07-28,2026-07-28,125095.97,CREDIT,CLIENT.A,SALARY CREDIT,ATM,N
FT900018,10020901,100209,2026-07-13,2026-07-13,168565.02,CREDIT,SALARY,SALARY CREDIT,IB,N
FT900019,10021102,100211,2026-06-02,2026-06-02,-40985.26,DEBIT,UPI.MERCHANT,RENT TRANSFER,SWIFT,N
FT900020,10015101,100151,2026-05-06,2026-05-06,-37195.76,DEBIT,UTIL.CO,MUTUAL FUND SIP,NEFT,N
FT900021,10016402,100164,2026-05-13,2026-05-13,107646.81,CREDIT,SALARY,INTEREST CREDIT,NEFT,N
FT900022,10011002,100110,2026-06-15,2026-06-15,-984909.99,DEBIT,VENDOR.Z,VENDOR PAYMENT,RTGS,Y
FT900023,10020001,100200,2026-05-24,2026-05-24,-7526.81,DEBIT,SIP.MF,MUTUAL FUND SIP,RTGS,N
FT900024,10012501,100125,2026-06-23,2026-06-23,-66873.1,DEBIT,LANDLORD,FOOD ORDER,NEFT,N
FT900025,10013701,100137,2026-05-14,2026-05-14,16544.31,CREDIT,CLIENT.A,CASH DEPOSIT,RTGS,N
FT900026,10019501,100195,2026-07-18,2026-07-18,-45558.58,DEBIT,UTIL.CO,FOOD ORDER,SWIFT,N
FT900027,10018601,100186,2026-07-01,2026-07-01,215918.79,CREDIT,CLIENT.A,BUSINESS RECEIPT,IB,N
FT900028,10021001,100210,2026-05-02,2026-05-02,-3773.19,DEBIT,SIP.MF,UTILITY BILL,ACH,N
FT900029,10021703,100217,2026-07-06,2026-07-06,142123.03,CREDIT,BANK.INT,BUSINESS RECEIPT,RTGS,N
FT900030,10021702,100217,2026-07-01,2026-07-01,109346.28,CREDIT,CLIENT.A,BUSINESS RECEIPT,IB,N
FT900031,10017901,100179,2026-05-02,2026-05-02,38866.3,CREDIT,SALARY,INTEREST CREDIT,ACH,N
FT900032,10013501,100135,2026-08-05,2026-08-05,-39717.21,DEBIT,UPI.MERCHANT,FOOD ORDER,SWIFT,N
FT900033,10021101,100211,2026-07-22,2026-07-22,-4123.02,DEBIT,10012903,OWN ACCOUNT TRANSFER,NEFT,N
FT900034,10018601,100186,2026-06-27,2026-06-27,-36781.66,DEBIT,10020902,ATM WITHDRAWAL,IB,N
FT900035,10011902,100119,2026-05-14,2026-05-14,-9584.68,DEBIT,UPI.MERCHANT,FOOD ORDER,NEFT,N
FT900036,10019102,100191,2026-07-19,2026-07-19,-113.56,DEBIT,10011202,EMI PAYMENT,ATM,N
FT900037,10016801,100168,2026-06-16,2026-06-16,-52402.22,DEBIT,SIP.MF,EMI PAYMENT,UPI,N
FT900038,10011202,100112,2026-06-30,2026-06-30,-2242.8,DEBIT,10018502,FOOD ORDER,NEFT,N
FT900039,10018301,100183,2026-06-13,2026-06-13,-60769.66,DEBIT,UPI.MERCHANT,RENT TRANSFER,IB,N
FT900040,10018002,100180,2026-05-06,2026-05-06,-41806.61,DEBIT,UPI.MERCHANT,MUTUAL FUND SIP,ATM,N
FT900041,10013601,100136,2026-06-02,2026-06-02,180946.66,CREDIT,SALARY,CASH DEPOSIT,RTGS,N
FT900042,10014302,100143,2026-07-31,2026-07-31,-36617.98,DEBIT,UTIL.CO,UTILITY BILL,UPI,N
FT900043,10017602,100176,2026-05-16,2026-05-16,-74137.46,DEBIT,10021301,UTILITY BILL,IB,N
FT900044,10020301,100203,2026-05-01,2026-05-01,35389.73,CREDIT,CASH.IN,BUSINESS RECEIPT,ATM,N
FT900045,10021802,100218,2026-08-08,2026-08-08,-67121.41,DEBIT,10016403,EMI PAYMENT,ACH,N
FT900046,10013901,100139,2026-07-24,2026-07-24,-65238.01,DEBIT,LANDLORD,UPI PURCHASE,RTGS,N
FT900047,10017201,100172,2026-06-05,2026-06-05,-78362.11,DEBIT,UTIL.CO,UTILITY BILL,ACH,N
FT900048,10019001,100190,2026-07-17,2026-07-17,-64403.27,DEBIT,LANDLORD,MUTUAL FUND SIP,ACH,N
FT900049,10021501,100215,2026-05-26,2026-05-26,215455.47,CREDIT,CLIENT.A,CASH DEPOSIT,ATM,N
FT900050,10014601,100146,2026-07-30,2026-07-30,-27688.96,DEBIT,UTIL.CO,MUTUAL FUND SIP,RTGS,N
FT900051,10013901,100139,2026-08-06,2026-08-06,81950.59,CREDIT,SALARY,CASH DEPOSIT,RTGS,N
FT900052,10018001,100180,2026-07-26,2026-07-26,235783.07,CREDIT,CASH.IN,BUSINESS RECEIPT,ATM,N
FT900053,10021901,100219,2026-06-18,2026-06-18,-1120.36,DEBIT,UPI.MERCHANT,UTILITY BILL,SWIFT,N
FT900054,10013201,100132,2026-06-06,2026-06-06,-429788.27,DEBIT,OFFSHORE.X,URGENT INVOICE,IB,Y
FT900055,10015402,100154,2026-08-05,2026-08-05,196520.64,CREDIT,CLIENT.A,SALARY CREDIT,RTGS,N
FT900056,10010701,100107,2026-05-29,2026-05-29,-49327.1,DEBIT,10019301,FOOD ORDER,IB,N
FT900057,10018802,100188,2026-06-18,2026-06-18,173848.15,CREDIT,SALARY,CASH DEPOSIT,NEFT,N
FT900058,10018802,100188,2026-05-02,2026-05-02,241526.64,CREDIT,SALARY,INTEREST CREDIT,NEFT,N
FT900059,10015402,100154,2026-08-05,2026-08-05,-18121.32,DEBIT,SIP.MF,FOOD ORDER,SWIFT,N
FT900060,10014302,100143,2026-05-24,2026-05-24,-35960.31,DEBIT,UPI.MERCHANT,ATM WITHDRAWAL,NEFT,N
FT900061,10013802,100138,2026-06-03,2026-06-03,-3346.68,DEBIT,10013601,RENT TRANSFER,ACH,N
FT900062,10012901,100129,2026-05-06,2026-05-06,-26511.97,DEBIT,UTIL.CO,MUTUAL FUND SIP,IB,N
FT900063,10013401,100134,2026-07-02,2026-07-02,193867.92,CREDIT,BANK.INT,BUSINESS RECEIPT,IB,N
FT900064,10018101,100181,2026-07-06,2026-07-06,-807076.8,DEBIT,OFFSHORE.X,NEW BENEFICIARY PAYOUT,SWIFT,Y
FT900065,10011502,100115,2026-06-14,2026-06-14,-43492.1,DEBIT,UPI.MERCHANT,UPI PURCHASE,ACH,N
FT900066,10014901,100149,2026-05-28,2026-05-28,84104.5,CREDIT,BANK.INT,INTEREST CREDIT,NEFT,N
FT900067,10021802,100218,2026-05-15,2026-05-15,-60195.49,DEBIT,UPI.MERCHANT,EMI PAYMENT,SWIFT,N
FT900068,10017901,100179,2026-05-06,2026-05-06,229814.61,CREDIT,CLIENT.A,INTEREST CREDIT,ATM,N
FT900069,10017201,100172,2026-05-04,2026-05-04,-20601.59,DEBIT,SIP.MF,RENT TRANSFER,ACH,N
FT900070,10021601,100216,2026-05-06,2026-05-06,-64245.06,DEBIT,LANDLORD,OWN ACCOUNT TRANSFER,ATM,N
FT900071,10016502,100165,2026-08-07,2026-08-07,-41160.19,DEBIT,UTIL.CO,ATM WITHDRAWAL,NEFT,N
FT900072,10021901,100219,2026-07-27,2026-07-27,-1018689.28,DEBIT,OFFSHORE.X,URGENT INVOICE,IB,Y
FT900073,10019701,100197,2026-07-22,2026-07-22,-3315.85,DEBIT,LANDLORD,ATM WITHDRAWAL,ATM,N
FT900074,10011602,100116,2026-05-12,2026-05-12,-36792.1,DEBIT,UPI.MERCHANT,UPI PURCHASE,IB,N
FT900075,10011602,100116,2026-05-30,2026-05-30,-854802.94,DEBIT,NEW.BEN.777,GAMBLING TOPUP,SWIFT,Y
FT900076,10015601,100156,2026-06-19,2026-06-19,-32415.4,DEBIT,UPI.MERCHANT,FOOD ORDER,RTGS,N
FT900077,10012602,100126,2026-07-29,2026-07-29,155350.64,CREDIT,SALARY,INTEREST CREDIT,RTGS,N
FT900078,10011602,100116,2026-07-17,2026-07-17,-23257.94,DEBIT,SIP.MF,EMI PAYMENT,IB,N
FT900079,10011901,100119,2026-06-30,2026-06-30,-31669.55,DEBIT,UPI.MERCHANT,FOOD ORDER,ACH,N
FT900080,10013501,100135,2026-06-07,2026-06-07,-31340.31,DEBIT,10020901,UPI PURCHASE,RTGS,N
FT900081,10013102,100131,2026-07-10,2026-07-10,94536.37,CREDIT,SALARY,CASH DEPOSIT,RTGS,N
FT900082,10013101,100131,2026-06-09,2026-06-09,149970.41,CREDIT,SALARY,SALARY CREDIT,ATM,N
FT900083,10014601,100146,2026-05-21,2026-05-21,54510.76,CREDIT,CLIENT.A,CASH DEPOSIT,NEFT,N
FT900084,10014001,100140,2026-05-07,2026-05-07,-9258.34,DEBIT,10019202,MUTUAL FUND SIP,UPI,N
FT900085,10020501,100205,2026-05-26,2026-05-26,-53767.65,DEBIT,UPI.MERCHANT,RENT TRANSFER,NEFT,N
FT900086,10020903,100209,2026-06-06,2026-06-06,-53736.52,DEBIT,UPI.MERCHANT,OWN ACCOUNT TRANSFER,UPI,N
FT900087,10011601,100116,2026-07-28,2026-07-28,-36106.61,DEBIT,SIP.MF,OWN ACCOUNT TRANSFER,ACH,N
FT900088,10013401,100134,2026-05-01,2026-05-01,-25375.02,DEBIT,UTIL.CO,OWN ACCOUNT TRANSFER,SWIFT,N
FT900089,10017001,100170,2026-06-16,2026-06-16,-59211.32,DEBIT,SIP.MF,ATM WITHDRAWAL,RTGS,N
FT900090,10012903,100129,2026-07-02,2026-07-02,-37081.59,DEBIT,SIP.MF,OWN ACCOUNT TRANSFER,ACH,N
FT900091,10012402,100124,2026-07-08,2026-07-08,210764.66,CREDIT,CLIENT.A,BUSINESS RECEIPT,IB,N
FT900092,10014302,100143,2026-07-04,2026-07-04,182401.49,CREDIT,SALARY,INTEREST CREDIT,IB,N
FT900093,10010701,100107,2026-05-05,2026-05-05,192761.66,CREDIT,CLIENT.A,BUSINESS RECEIPT,ACH,N
FT900094,10015602,100156,2026-06-20,2026-06-20,-52347.26,DEBIT,SIP.MF,EMI PAYMENT,ACH,N
FT900095,10014901,100149,2026-06-29,2026-06-29,214576.71,CREDIT,CLIENT.A,BUSINESS RECEIPT,RTGS,N
FT900096,10021203,100212,2026-07-18,2026-07-18,-40223.16,DEBIT,UTIL.CO,UTILITY BILL,NEFT,N
FT900097,10013601,100136,2026-07-24,2026-07-24,-12821.87,DEBIT,10017701,UPI PURCHASE,ACH,N
FT900098,10013201,100132,2026-05-30,2026-05-30,-3329.54,DEBIT,LANDLORD,FOOD ORDER,NEFT,N
FT900099,10011401,100114,2026-06-19,2026-06-19,-53519.99,DEBIT,SIP.MF,ATM WITHDRAWAL,IB,N
FT900100,10020601,100206,2026-05-14,2026-05-14,245186.27,CREDIT,BANK.INT,SALARY CREDIT,IB,N
FT900101,10021701,100217,2026-07-12,2026-07-12,-59378.59,DEBIT,10018001,MUTUAL FUND SIP,SWIFT,N
FT900102,10013802,100138,2026-07-06,2026-07-06,-47055.54,DEBIT,UPI.MERCHANT,UTILITY BILL,NEFT,N
FT900103,10015402,100154,2026-07-02,2026-07-02,-32526.79,DEBIT,SIP.MF,ATM WITHDRAWAL,ATM,N
FT900104,10020901,100209,2026-05-22,2026-05-22,220744.49,CREDIT,CASH.IN,SALARY CREDIT,ATM,N
FT900105,10015101,100151,2026-05-21,2026-05-21,-348814.97,DEBIT,OFFSHORE.X,NEW BENEFICIARY PAYOUT,SWIFT,Y
FT900106,10018201,100182,2026-08-01,2026-08-01,-18504.67,DEBIT,SIP.MF,RENT TRANSFER,RTGS,N
FT900107,10012501,100125,2026-05-03,2026-05-03,-16935.25,DEBIT,LANDLORD,FOOD ORDER,ACH,N
FT900108,10015301,100153,2026-05-06,2026-05-06,-275248.54,DEBIT,NEW.BEN.777,OFFSHORE REMIT,RTGS,Y
FT900109,10013201,100132,2026-07-16,2026-07-16,-794295.41,DEBIT,CRYPTO.X,CRYPTO TOPUP,IB,Y
FT900110,10010302,100103,2026-05-28,2026-05-28,205683.22,CREDIT,SALARY,CASH DEPOSIT,RTGS,N
FT900111,10020201,100202,2026-07-16,2026-07-16,-38585.31,DEBIT,LANDLORD,FOOD ORDER,SWIFT,N
FT900112,10013101,100131,2026-08-01,2026-08-01,-52805.94,DEBIT,UTIL.CO,UPI PURCHASE,ATM,N
FT900113,10017701,100177,2026-06-19,2026-06-19,19073.04,CREDIT,CASH.IN,BUSINESS RECEIPT,ATM,N
FT900114,10012901,100129,2026-05-20,2026-05-20,-68781.38,DEBIT,LANDLORD,ATM WITHDRAWAL,ATM,N
FT900115,10012101,100121,2026-05-12,2026-05-12,11681.07,CREDIT,SALARY,BUSINESS RECEIPT,ATM,N
FT900116,10020901,100209,2026-07-06,2026-07-06,207225.4,CREDIT,CASH.IN,BUSINESS RECEIPT,ATM,N
FT900117,10019601,100196,2026-07-01,2026-07-01,6669.73,CREDIT,CLIENT.A,SALARY CREDIT,RTGS,N
FT900118,10018701,100187,2026-06-24,2026-06-24,209623.25,CREDIT,SALARY,CASH DEPOSIT,SWIFT,N
FT900119,10012903,100129,2026-06-22,2026-06-22,-6797.02,DEBIT,10018202,ATM WITHDRAWAL,SWIFT,N
FT900120,10015601,100156,2026-07-06,2026-07-06,197776.78,CREDIT,SALARY,CASH DEPOSIT,RTGS,N
FT900121,10010101,100101,2026-05-14,2026-05-14,-64362.54,DEBIT,SIP.MF,ATM WITHDRAWAL,RTGS,N
FT900122,10013402,100134,2026-07-12,2026-07-12,66803.12,CREDIT,CASH.IN,BUSINESS RECEIPT,NEFT,N
FT900123,10018301,100183,2026-07-10,2026-07-10,189233.03,CREDIT,CASH.IN,INTEREST CREDIT,ACH,N
FT900124,10020901,100209,2026-06-14,2026-06-14,-38752.44,DEBIT,10014001,EMI PAYMENT,ATM,N
FT900125,10019001,100190,2026-08-09,2026-08-09,187457.92,CREDIT,CASH.IN,INTEREST CREDIT,IB,N
FT900126,10013503,100135,2026-07-18,2026-07-18,-62907.88,DEBIT,10020902,EMI PAYMENT,ACH,N
FT900127,10011201,100112,2026-06-30,2026-06-30,201483.6,CREDIT,CLIENT.A,INTEREST CREDIT,IB,N
FT900128,10019902,100199,2026-08-01,2026-08-01,-29729.73,DEBIT,UPI.MERCHANT,MUTUAL FUND SIP,UPI,N
FT900129,10018801,100188,2026-05-08,2026-05-08,-52528.4,DEBIT,10013801,UTILITY BILL,ATM,N
FT900130,10013803,100138,2026-06-06,2026-06-06,-16216.41,DEBIT,10019101,FOOD ORDER,IB,N
FT900131,10014302,100143,2026-07-18,2026-07-18,-793087.9,DEBIT,OFFSHORE.X,OFFSHORE REMIT,RTGS,Y
FT900132,10013801,100138,2026-06-05,2026-06-05,-52436.03,DEBIT,UPI.MERCHANT,OWN ACCOUNT TRANSFER,UPI,N
FT900133,10019101,100191,2026-08-03,2026-08-03,-46927.81,DEBIT,UPI.MERCHANT,UTILITY BILL,ACH,N
FT900134,10011601,100116,2026-06-14,2026-06-14,-58118.48,DEBIT,10017603,EMI PAYMENT,NEFT,N
FT900135,10017901,100179,2026-06-21,2026-06-21,-48548.44,DEBIT,LANDLORD,MUTUAL FUND SIP,UPI,N
FT900136,10010002,100100,2026-06-07,2026-06-07,-8606.55,DEBIT,10011002,UTILITY BILL,ATM,N
FT900137,10017701,100177,2026-06-02,2026-06-02,-70101.43,DEBIT,10021101,EMI PAYMENT,NEFT,N
FT900138,10020002,100200,2026-08-08,2026-08-08,192951.86,CREDIT,BANK.INT,BUSINESS RECEIPT,ACH,N
FT900139,10020402,100204,2026-06-03,2026-06-03,8782.97,CREDIT,SALARY,BUSINESS RECEIPT,SWIFT,N
FT900140,10011502,100115,2026-06-22,2026-06-22,-56123.97,DEBIT,SIP.MF,ATM WITHDRAWAL,RTGS,N
FT900141,10018002,100180,2026-06-06,2026-06-06,208379.91,CREDIT,CLIENT.A,SALARY CREDIT,RTGS,N
FT900142,10012001,100120,2026-06-30,2026-06-30,86814.23,CREDIT,CLIENT.A,CASH DEPOSIT,SWIFT,N
FT900143,10017002,100170,2026-07-03,2026-07-03,47330.54,CREDIT,CLIENT.A,BUSINESS RECEIPT,NEFT,N
FT900144,10014401,100144,2026-06-01,2026-06-01,-21305.89,DEBIT,UTIL.CO,ATM WITHDRAWAL,SWIFT,N
FT900145,10018101,100181,2026-07-18,2026-07-18,-73623.03,DEBIT,LANDLORD,RENT TRANSFER,IB,N
FT900146,10010101,100101,2026-06-10,2026-06-10,-67856.05,DEBIT,10014902,EMI PAYMENT,IB,N
FT900147,10021101,100211,2026-08-06,2026-08-06,70133.79,CREDIT,CLIENT.A,BUSINESS RECEIPT,SWIFT,N
FT900148,10021401,100214,2026-06-24,2026-06-24,-46175.55,DEBIT,10010701,ATM WITHDRAWAL,SWIFT,N
FT900149,10020801,100208,2026-06-28,2026-06-28,88127.66,CREDIT,CLIENT.A,SALARY CREDIT,ATM,N
FT900150,10012602,100126,2026-06-18,2026-06-18,-55167.92,DEBIT,UTIL.CO,FOOD ORDER,NEFT,N
FT900151,10012201,100122,2026-05-31,2026-05-31,66405.79,CREDIT,BANK.INT,BUSINESS RECEIPT,SWIFT,N
FT900152,10015801,100158,2026-06-24,2026-06-24,92749.19,CREDIT,CASH.IN,BUSINESS RECEIPT,NEFT,N
FT900153,10014601,100146,2026-05-24,2026-05-24,-68360.65,DEBIT,LANDLORD,OWN ACCOUNT TRANSFER,NEFT,N
FT900154,10012901,100129,2026-05-31,2026-05-31,203919.28,CREDIT,BANK.INT,INTEREST CREDIT,UPI,N
FT900155,10019901,100199,2026-06-30,2026-06-30,-64022.99,DEBIT,UTIL.CO,ATM WITHDRAWAL,UPI,N
FT900156,10010102,100101,2026-07-08,2026-07-08,-79645.39,DEBIT,10021401,FOOD ORDER,UPI,N
FT900157,10017002,100170,2026-06-20,2026-06-20,-45014.86,DEBIT,UPI.MERCHANT,MUTUAL FUND SIP,NEFT,N
FT900158,10012201,100122,2026-07-20,2026-07-20,203826.88,CREDIT,CASH.IN,SALARY CREDIT,UPI,N
FT900159,10012101,100121,2026-06-02,2026-06-02,-28940.87,DEBIT,10017603,OWN ACCOUNT TRANSFER,NEFT,N
FT900160,10017801,100178,2026-05-26,2026-05-26,-1306358.13,DEBIT,NEW.BEN.777,URGENT INVOICE,SWIFT,Y
FT900161,10013802,100138,2026-08-08,2026-08-08,-26074.71,DEBIT,LANDLORD,MUTUAL FUND SIP,NEFT,N
FT900162,10020201,100202,2026-05-22,2026-05-22,-22993.23,DEBIT,UTIL.CO,UTILITY BILL,ATM,N
FT900163,10017602,100176,2026-05-11,2026-05-11,102383.63,CREDIT,SALARY,BUSINESS RECEIPT,ATM,N
FT900164,10013503,100135,2026-07-17,2026-07-17,-52275.75,DEBIT,SIP.MF,OWN ACCOUNT TRANSFER,NEFT,N
FT900165,10018902,100189,2026-07-06,2026-07-06,-69038.24,DEBIT,10014801,FOOD ORDER,SWIFT,N
FT900166,10020301,100203,2026-07-24,2026-07-24,-1945.78,DEBIT,UTIL.CO,UPI PURCHASE,SWIFT,N
FT900167,10015402,100154,2026-06-20,2026-06-20,21856.05,CREDIT,CLIENT.A,CASH DEPOSIT,RTGS,N
